delta_max,delta_mean,delta_p95,frame,jerk_p95,kind,n_exec,overlap_disagree_max,policy,seam_jump_max,spread_max,spread_mean,spread_step0_max
1.0562363,0.16502032,0.6672573,2295,0.22897951,seam,16,1.7784042,ddim50,1.4183121,,,
2.6722097,0.2422423,0.7822075,2407,0.3413678,seam,8,2.1571655,ddim50,1.6919479,,,
2.637907,0.21270677,0.6521683,2407,0.232853,seam,16,0.81895447,ddim50,0.7487488,,,
1.2462997,0.24030858,0.6498356,2238,0.24579546,seam,8,1.2735367,ddim50,1.5073547,,,
1.367363,0.27061084,0.7390113,2238,0.422115,seam,16,1.5480499,ddim50,1.7264404,,,
,,,58,,resample,,,ddim50,,20.503035,5.0197835,4.356468
,,,375,,resample,,,ddim50,,2.84232,0.9764063,1.5630128
,,,428,,resample,,,ddim50,,2.7755704,0.5569877,0.672402
,,,729,,resample,,,ddim50,,1.2185885,0.5013409,0.761846
,,,829,,resample,,,ddim50,,1.8641521,0.61916363,0.4471428
,,,938,,resample,,,ddim50,,4.151514,0.6657624,0.7471202
,,,1286,,resample,,,ddim50,,0.9240385,0.41189507,0.4687219
,,,1321,,resample,,,ddim50,,3.0038235,0.62229156,1.2488928
,,,1554,,resample,,,ddim50,,3.2222881,0.2962828,3.0958302
,,,1664,,resample,,,ddim50,,13.430279,3.1009452,0.8373043
3.90419,0.73380584,3.2216382,428,0.49913025,seam,8,3.3730316,ddpm100,6.2713547,,,
4.020813,0.77038985,3.055704,428,0.5180288,seam,16,3.2730026,ddpm100,2.78656,,,
4.5399017,0.6307303,2.5392704,58,0.54264057,seam,8,9.290186,ddpm100,6.8171706,,,
4.2592773,1.0172341,3.7051592,58,0.51445735,seam,16,18.720932,ddpm100,18.531376,,,
2.5435982,0.8585089,2.2624664,375,0.34385192,seam,8,1.3095627,ddpm100,3.6628418,,,
2.4883232,0.87917304,2.1754398,375,0.3918339,seam,16,2.707222,ddpm100,5.172123,,,
3.9261665,0.69653904,1.9637032,938,0.3790108,seam,8,2.0772934,ddpm100,1.6401978,,,
3.65271,0.6815456,1.5289869,938,0.41168484,seam,16,1.4966125,ddpm100,2.7536125,,,
0.575531,0.1302986,0.36548996,729,0.20133826,seam,8,2.2157822,ddpm100,2.4310303,,,
0.8366699,0.16494015,0.43122292,729,0.21930619,seam,16,2.5703888,ddpm100,2.1593018,,,
1.8764801,0.37368706,1.3641224,829,0.3445004,seam,8,5.581604,ddpm100,4.162567,,,
1.8817978,0.3354096,1.2667389,829,0.35356906,seam,16,5.185272,ddpm100,4.345291,,,
1.9218979,0.25928783,1.0806756,1321,0.35822657,seam,8,2.838028,ddpm100,1.1257057,,,
